Reports,No Finding,Enlarged Cardiomediastinum,Cardiomegaly,Lung Lesion,Lung Opacity,Edema,Consolidation,Pneumonia,Atelectasis,Pneumothorax,Pleural Effusion,Pleural Other,Fracture,Support Devices
small right pleural effusion is unchanged  .,,,,,,,,,,,1.0,,,
as compared to the previous radiograph the patient has developed a right pneumothorax the gap of the pneumothorax is about 3 cm large,,,,,,,,,,1.0,,,,
there currently are no signs of tension,1.0,,,,,,,,,,,,,
right-sided pigtail catheter,1.0,,,,,,,,,,,,,1.0
on the left a second pigtail catheter has been inserted,1.0,,,,,,,,,,,,,1.0
the catheter insertion caused a substantial decrease of the pre-existing extensive left pleural effusion,,,,,,,,,,,1.0,,,1.0
there is no evidence of left pneumothorax,1.0,,,,,,,,,0.0,,,,
the rightward mediastinal shift has completely reversed,1.0,,,,,,,,,,,,,
areas of atelectasis are seen at both lung bases,,,,,,,,,1.0,,,,,
normal size of the cardiac silhouette  .,1.0,,0.0,,,,,,,,,,,
the bilateral pleural pigtail catheters are in unchanged position,1.0,,,,,,,,,,,,,1.0
the right pneumothorax has an unchanged dimension of approximately 1 cm,,,,,,,,,,1.0,,,,
there is no evidence of tension,1.0,,,,,,,,,,,,,
no other changes  .,1.0,,,,,,,,,,,,,
as compared to previous radiograph the right pleural effusion has slightly decreased,,,,,,,,,,,1.0,,,
on the left however a relatively extensive pleural effusion occupying approximately one-third of the left hemithorax has newly appeared,,,,,,,,,,,1.0,,,
subsequent areas of atelectasis,,,,,,,,,1.0,,,,,
no pneumothorax or pneumonia,1.0,,,,,,,0.0,,0.0,,,,
no evidence of pulmonary edema  .,1.0,,,,,0.0,,,,,,,,
as compared to the previous radiograph there is a mild decrease in extent of the right pneumothorax,,,,,,,,,,1.0,,,,
the pneumothorax has now a dimension of approximately 1 cm,,,,,,,,,,1.0,,,,
no evidence of tension,1.0,,,,,,,,,,,,,
unchanged position of the bilateral pigtail catheters in the pleural space  .,1.0,,,,,,,,,,,,,1.0
portable ap chest radiograph demonstrates a stable right pneumothorax,,,,,,,,,,1.0,,,,
there are several radiodense lesions along the left hemithorax that may represent skin folds,1.0,,,,,,,,,,,,,
there is no definite left pneumothorax,1.0,,,,,,,,,0.0,,,,
there is opacification of the left thorax consistent with a moderate left pleural effusion,,,,,1.0,,,,,,1.0,,,
there is also new engorgement of the pulmonary vasculature in the left lung,1.0,,,,,,,,,,,,,
there is slight shift of the mediastinum to the right,,1.0,,,,,,,,,,,,
bilateral pigtail drains are noted at the costophrenic angles,1.0,,,,,,,,,,,,,
the heart size is within normal limits  .,1.0,,0.0,,,,,,,,,,,
bilateral pleural catheters remain in place with persistent pneumothoraces moderate left apical lateral pneumothorax on the left and small on the right,,,,,,,,,,1.0,,,,1.0
the left pneumothorax is unchanged but right pneumothorax has minimally increased,,,,,,,,,,1.0,,,,
heart size remains normal,1.0,,0.0,,,,,,,,,,,
persistent left basilar atelectasis and adjacent small left pleural effusion  .,,,,,,,,,1.0,,1.0,,,
bilateral pleural catheters remain in place,1.0,,,,,,,,,,,,,1.0
small residual apicolateral pneumothoraces are present both decreased from the prior chest x-ray,,,,,,,,,,1.0,,,,
heart size remains normal,1.0,,0.0,,,,,,,,,,,
bilateral pleural effusions and left basilar atelectasis are again demonstrated with slight improvement in aeration at the left lung base  .,,,,,,,,,1.0,,1.0,,,
pa and lateral views of the chest are compared to previous chest x unk from and chest ct from,1.0,,,,,,,,,,,,,
there is a large right lower lung opacity compatible with pleural effusion,,,,,1.0,,,,,,1.0,,,
given relatively mild mediastinal shift to the left there must be components of atelectasis in the right lower and right middle lobes with possible superimposed consolidation,,,,,,,-1.0,,1.0,,,,,
the right upper lobe is grossly clear,1.0,,,,,,,,,,,,,
small left pleural effusion is also seen however the left lung remains grossly clear,,,,,,,,,,,1.0,,,
there is a rounded density projecting in the retrosternal clear space on the lateral,,,,,,,,,,,,,,
cardiomediastinal silhouette is difficult to assess however is slightly shifted towards the left,,1.0,,,,,,,,,,,,
osseous and soft tissue structures are unremarkable  .,1.0,,,,,,,,,,,,,
pa and lateral views of the chest are compared to previous chest x unk from and chest ct from,1.0,,,,,,,,,,,,,
there is a large right lower lung opacity compatible with pleural effusion,,,,,1.0,,,,,,1.0,,,
given relatively mild mediastinal shift to the left there must be components of atelectasis in the right lower and right middle lobes with possible superimposed consolidation,,,,,,,-1.0,,1.0,,,,,
the right upper lobe is grossly clear,1.0,,,,,,,,,,,,,
small left pleural effusion is also seen however the left lung remains grossly clear,,,,,,,,,,,1.0,,,
there is a rounded density projecting in the retrosternal clear space on the lateral,,,,,,,,,,,,,,
cardiomediastinal silhouette is difficult to assess however is slightly shifted towards the left,,1.0,,,,,,,,,,,,
osseous and soft tissue structures are unremarkable  .,1.0,,,,,,,,,,,,,
there is a right pleural effusion the size of which is difficult to ascertain,,,,,,,,,,,1.0,,,
there is unchanged bilateral lower lobe and right middle lobe collapse,,,,,,,,,1.0,,,,,
the small left pleural effusion is unchanged,,,,,,,,,,,1.0,,,
there is no pulmonary vascular congestion or pneumothorax,1.0,,,,,0.0,,,,0.0,,,,
the cardiac and mediastinal contours are not well visualized  .,,-1.0,,,,,,,,,,,,
there is a right pleural effusion the size of which is difficult to ascertain,,,,,,,,,,,1.0,,,
there is unchanged bilateral lower lobe and right middle lobe collapse,,,,,,,,,1.0,,,,,
the small left pleural effusion is unchanged,,,,,,,,,,,1.0,,,
there is no pulmonary vascular congestion or pneumothorax,1.0,,,,,0.0,,,,0.0,,,,
the cardiac and mediastinal contours are not well visualized  .,,-1.0,,,,,,,,,,,,
single portable view of the chest is compared to previous exam from,1.0,,,,,,,,,,,,,
when compared to prior there has been significant interval enlargement of bilateral pleural effusions which are now moderate in size,,,,,,,,,,,1.0,,,
underlying airspace disease is also possible,,,,,-1.0,,,,,,,,,
superiorly however the lungs are grossly clear,1.0,,,,,,,,,,,,,
cardiac silhouette is difficult to assess given the size of effusions,,,1.0,,,,,,,,1.0,,,
osseous and soft tissue structures are unchanged  .,1.0,,,,,,,,,,,,,
pigtail pleural catheters remain in place bilaterally,1.0,,,,,,,,,,,,,1.0
small bilateral apical lateral pneumothoraces have slightly decreased in size since the prior study,,,,,,,,,,1.0,,,,
small left pleural effusion is again demonstrated  .,,,,,,,,,,,1.0,,,
as compared to the previous radiograph the known right pneumothorax is stable,,,,,,,,,,1.0,,,,
on the left there is no evidence of pneumothorax,1.0,,,,,,,,,0.0,,,,
the right pleural effusion has completely resolved,1.0,,,,,,,,,,0.0,,,
normal size of the cardiac silhouette,1.0,,0.0,,,,,,,,,,,
normal hilar and mediastinal contours  .,1.0,0.0,,,,,,,,,,,,
in comparison with study of there is a pleurx catheter in place,1.0,,,,,,,,,,,,,1.0
no evidence of pneumothorax,1.0,,,,,,,,,0.0,,,,
bibasilar opacification is consistent with atelectasis and effusion,,,,,1.0,,,,1.0,,1.0,,,
indistinctness of pulmonary vessels is consistent with elevated pulmonary venous pressure  .,,,,,,-1.0,,,,,,,,
following pigtail catheter placement in the right lower chest moderate right pleural effusion has near completely resolved,,,,,,,,,,,1.0,,,1.0
moderate-to-large left pleural effusion associated with left lower lung atelectasis and mediastinal shift to the right side is unchanged,,,,,,,,,1.0,,1.0,,,
there is no pneumothorax,1.0,,,,,,,,,0.0,,,,
obscured left mediastinal and the heart borders by pleural effusion limited assessment of the cardiomediastinal silhouette  .,,1.0,1.0,,,,,,,,1.0,,,
in comparison with the study of there has been removal of a large amount of left pleural fluid with reexpansion of the left lung,1.0,,,,,,,,,,0.0,,,
there may be a small apical pneumothorax,,,,,,,,,,-1.0,,,,
large right effusion persists with underlying compressive atelectasis  .,,,,,,,,,1.0,,1.0,,,
there is a mild-to-moderate left pneumothorax with rightward mediastinal shift more apparent than on portable chest radiograph at unk pm,,,,,,,,,,1.0,,,,
the small right pneumothorax is stable,,,,,,,,,,1.0,,,,
there is also a moderate left pleural effusion,,,,,,,,,,,1.0,,,
bilateral pigtail catheters are in place,1.0,,,,,,,,,,,,,1.0
the heart size remains normal,,,1.0,,,,,,,,,,,
there is no focal consolidation  .,1.0,,,,,,0.0,,,,,,,
there is a mild-to-moderate left pneumothorax with rightward mediastinal shift more apparent than on portable chest radiograph at unk pm,,,,,,,,,,1.0,,,,
the small right pneumothorax is stable,,,,,,,,,,1.0,,,,
there is also a moderate left pleural effusion,,,,,,,,,,,1.0,,,
bilateral pigtail catheters are in place,1.0,,,,,,,,,,,,,1.0
the heart size remains normal,,,1.0,,,,,,,,,,,
there is no focal consolidation  .,1.0,,,,,,0.0,,,,,,,
ap upright and lateral chest radiographs were obtained,1.0,,,,,,,,,,,,,
known interstitial lung disease contributes to a bilateral perihilar interstitial abnormality,,,,,1.0,,,,,,,,,
in addition to the chronic findings there is bilateral ground-glass opacity and interstitial thickening predominantly radiating from the hila,,,,,1.0,,,,,,,,,
cardiomegaly remains moderate,,,1.0,,,,,,,,,,,
aortic arch calcifications are unchanged,,,,,,,,,,,,,,
a right-sided picc line terminates in the low svc,1.0,,,,,,,,,,,,,1.0
a left chest port-a-cath terminates in the right atrium,1.0,,,,,,,,,,,,,
vertebroplasty changes are stable  .,1.0,,,,,,,,,,,,,
ap upright and lateral chest radiographs were obtained,1.0,,,,,,,,,,,,,
known interstitial lung disease contributes to a bilateral perihilar interstitial abnormality,,,,,1.0,,,,,,,,,
in addition to the chronic findings there is bilateral ground-glass opacity and interstitial thickening predominantly radiating from the hila,,,,,1.0,,,,,,,,,
cardiomegaly remains moderate,,,1.0,,,,,,,,,,,
aortic arch calcifications are unchanged,,,,,,,,,,,,,,
a right-sided picc line terminates in the low svc,1.0,,,,,,,,,,,,,1.0
a left chest port-a-cath terminates in the right atrium,1.0,,,,,,,,,,,,,
vertebroplasty changes are stable  .,1.0,,,,,,,,,,,,,
a left port-a-cath terminates in the right atrium unchanged from prior,1.0,,,,,,,,,,,,,
lung volumes are extremely low resulting in bronchovascular crowding and limited evaluation of the lung bases,1.0,,,,,,,,,,,,,
diffuse interstitial opacities have increased and despite the low lung volumes findings are consistent with superimposed pulmonary edema on a background of pulmonary fibrosis,,,,,1.0,1.0,,,,,,1.0,,
no large pleural effusion is evident,1.0,,,,,,,,,,0.0,,,
there is no pneumothorax,1.0,,,,,,,,,0.0,,,,
cardiomediastinal and hilar contours are within normal limits,1.0,0.0,,,,,,,,,,,,
high density material within multiple mid thoracic vertebral bodies is likely related to prior kyphoplasty unchanged from prior  .,,,,,,,,,,,,,,
in comparison with study of there is little overall change,1.0,,,,,,,,,,,,,
substantial cardiomegaly with bilateral opacifications most likely reflecting pulmonary edema,,,1.0,,1.0,1.0,,,,,,,,
the possibility of supervening pneumonia would have to be raised in the appropriate clinical setting,,,,,,,,1.0,,,,,,
central catheter remains in place,1.0,,,,,,,,,,,,,1.0
slight impression on the lower cervical trachea on the right could possibly represent a small thyroid mass  .,,,,-1.0,,,,,,,,,,
as compared to the previous radiograph there is unchanged evidence of moderate-to-severe pulmonary edema,,,,,,1.0,,,,,,,,
however the interstitial component of the edema is more prominent on the current image,,,,,,1.0,,,,,,,,
the presence of a small pleural effusion cannot be excluded,,,,,,,,,,,1.0,,,
unchanged mild cardiomegaly,,,1.0,,,,,,,,,,,
unchanged position of the left pectoral port-a-cath  .,1.0,,,,,,,,,,,,,
new left-sided port-a-cath is seen entering the left subclavian and terminating within the right atrium and can be withdrawn 3 cm and still remains within the low svc,1.0,,,,,,,,,,,,,
there is stable mild-to-moderate pulmonary edema and stable small bilateral pleural effusions,,,,,,1.0,,,,,1.0,,,
again seen are low lung volumes,1.0,,,,,,,,,,,,,
heart is stably enlarged,1.0,,,,,,,,,,,,,
there is no pneumothorax,1.0,,,,,,,,,0.0,,,,
in comparison with the study of there is little overall change,1.0,,,,,,,,,,,,,
again there is substantial cardiomegaly with bilateral opacifications that most likely represent pulmonary edema,,,1.0,,1.0,1.0,,,,,,,,
more focal opacification at the right base medially could represent a developing consolidation  .,,,,,1.0,,-1.0,,,,,,,
as compared to previous radiograph the patient has been extubated,1.0,,,,,,,,,,,,,
otherwise there is no relevant change,1.0,,,,,,,,,,,,,
the bilateral massive parenchymal opacities are constant constant moderate cardiomegaly  .,,,1.0,,1.0,,,,,,,,,
in comparison with the study of the degree of pulmonary vascular congestion may have slightly decreased in this patient with continued substantial enlargement of the cardiac silhouette,,,1.0,,,-1.0,,,,,,,,
the possibility of supervening interstitial lung disease is difficult to assess on plain radiograph but was apparent on the ct study of,,,,,1.0,,,,,,,,,
no acute focal pneumonia,1.0,,,,,,,0.0,,,,,,
central catheter remains in place  .,1.0,,,,,,,,,,,,,1.0
frontal and lateral views of the chest were obtained,1.0,,,,,,,,,,,,,
left-sided port-a-catheter is similar in position terminating at the unk atrial junction,1.0,,,,,,,,,,,,,1.0
patient has diffuse increase in interstitial markings bilaterally consistent with patients underlying history of chronic interstitial lung disease with likely overlying pulmonary edema improved since but similar in appearance as compared to,,,,,1.0,1.0,,,,,,,,
no definite focal consolidation or pleural effusion,1.0,,,,,,0.0,,,,0.0,,,
multilevel vertebroplasties are seen along the thoracic spine similar to prior  .,1.0,,,,,,,,,,,,,
frontal and lateral views of the chest were obtained,1.0,,,,,,,,,,,,,
left-sided port-a-catheter is similar in position terminating at the unk atrial junction,1.0,,,,,,,,,,,,,1.0
patient has diffuse increase in interstitial markings bilaterally consistent with patients underlying history of chronic interstitial lung disease with likely overlying pulmonary edema improved since but similar in appearance as compared to,,,,,1.0,1.0,,,,,,,,
no definite focal consolidation or pleural effusion,1.0,,,,,,0.0,,,,0.0,,,
multilevel vertebroplasties are seen along the thoracic spine similar to prior  .,1.0,,,,,,,,,,,,,
there has been improvement in mild-to-moderate pulmonary edema with decreased interstitial markings compared to most recent prior study,,,,,1.0,1.0,,,,,,,,
small bilateral pleural effusions have resolved,1.0,,,,,,,,,,0.0,,,
there is no focal consolidation or pneumothorax,1.0,,,,,,0.0,,,0.0,,,,
heart size is moderately enlarged and stable,,,-1.0,,,,,,,,,,,
a left chest wall port-a-cath terminates in the ra,1.0,,,,,,,,,,,,,
the patient is status post multiple vertebroplasties  .,1.0,,,,,,,,,,,,,
there has been improvement in mild-to-moderate pulmonary edema with decreased interstitial markings compared to most recent prior study,,,,,1.0,1.0,,,,,,,,
small bilateral pleural effusions have resolved,1.0,,,,,,,,,,0.0,,,
there is no focal consolidation or pneumothorax,1.0,,,,,,0.0,,,0.0,,,,
heart size is moderately enlarged and stable,,,-1.0,,,,,,,,,,,
a left chest wall port-a-cath terminates in the ra,1.0,,,,,,,,,,,,,
the patient is status post multiple vertebroplasties  .,1.0,,,,,,,,,,,,,
frontal and lateral views of the chest were obtained,1.0,,,,,,,,,,,,,
cardiomegaly is mild similar to prior,,,1.0,,,,,,,,,,,
prominent interstitial lung markings are compatible with known lung fibrosis,,,,,1.0,,,,,,,-1.0,,
indistinct pulmonary vascular markings are similar to prior and compatible with mild pulmonary edema,,,,,,1.0,,,,,,,,
no focal consolidation pleural effusion or pneumothorax,1.0,,,,,,0.0,,,0.0,0.0,,,
the catheter of the left chest wall port terminates in the right atrium,1.0,,,,,,,,,,,,,1.0
multiple vertebroplasties are similar to prior,1.0,,,,,,,,,,,,,
no displaced rib fracture is identified  .,1.0,,,,,,,,,,,,0.0,
